Company_name;Description;Ratings;Highly_rated_for;Critically_rated_for;Total_reviews;Avg_salary;Interviews_taken;Total_jobs_available;Total_benefits;;
Indian Navy;Defence & Aerospace | 50k-1 Lakh Employees | Central | 74 years old | Delhi/NCR +57 more;4.6;Job Security, Skill Development / Learning, Salary & Benefits;;1.4k;3.5k;16;--;251;;
Taurus BPO Services;BPO | 1k-5k Employees | 9 years old | Pune +15 more;4.6;Skill Development / Learning, Company Culture, Job Security;;1.4k;647;14;1;524;;
PHN Technology;Pune +30 more;4.6;Skill Development / Learning, Work Satisfaction, Company Culture;;1.3k;186;21;--;25;;
Jet Airways;Aviation | 201-500 Employees | Public | 31 years old | Mumbai +45 more;4.6;Skill Development / Learning, Work Satisfaction, Company Culture;;1.1k;4.4k;23;--;181;;
Sheenlac Paints;Chemicals | 501-1k Employees | Public | 62 years old | Chennai +132 more;4.6;Salary & Benefits, Skill Development / Learning, Company Culture;;895;1.3k;75;--;54;;
XcelServ Solutions;IT Services & Consulting | 501-1k Employees | 13 years old | Las Vegas +35 more;4.6;Work Life Balance, Job Security, Salary & Benefits;;815;508;4;--;28;;
Shalby Hospitals;Healthcare | 1k-5k Employees | Public | 30 years old | Ahmedabad +23 more;4.6;Skill Development / Learning, Company Culture, Work Life Balance;;758;1.9k;22;21;55;;
Border Security Force;Law Enforcement & Security | 1 Lakh+ Employees | 59 years old | Delhi/NCR +85 more;4.6;Job Security, Salary & Benefits, Skill Development / Learning;;628;1.3k;10;--;85;;
Saudi Aramco;Oil & Gas | 1k-5k Employees | Forbes Global 2000 | 91 years old | Dhahran +30 more;4.6;Work Life Balance, Company Culture, Salary & Benefits;;493;1.6k;43;--;81;;
Lambda Therapeutic Research;Clinical Research | 1k-5k Employees | 25 years old | Ahmedabad +6 more;4.6;Skill Development / Learning, Salary & Benefits, Work Satisfaction;;482;1.3k;9;7;34;;
Central Reserve Police Force;Government | 1 Lakh+ Employees | Central | 85 years old | Delhi/NCR +74 more;4.6;Job Security, Salary & Benefits, Company Culture;;469;1k;6;--;48;;
IL&FS Engineering and Construction;Engineering & Construction | 1k-5k Employees | Public | 36 years old | Hyderabad/Secunderabad +47 more;4.6;Work Life Balance, Company Culture, Work Satisfaction;;441;1.2k;12;--;59;;
Maxgen Technologies;IT Services & Consulting | 201-500 Employees | 11 years old | Mumbai +7 more;4.6;Skill Development / Learning, Work Life Balance, Company Culture;;433;1.1k;9;--;127;;
Jorie Healthcare;Healthcare | 1k-5k Employees (Global) | 9 years old | Illinois +4 more;4.6;Company Culture, Job Security, Work Life Balance;;388;193;5;5;13;;
Ryan;Accounting & Auditing | 1k-5k Employees | 33 years old | Dallas +3 more;4.6;Job Security, Company Culture, Work Life Balance;;365;1.1k;14;25;148;;
CodeClouds;Software Product | 501-1k Employees | 15 years old | Pipitea +8 more;4.6;Company Culture, Work Life Balance, Salary & Benefits;;354;852;17;1;132;;
M Square Media;Analytics & KPO | Ahmedabad +41 more;4.6;Work Life Balance, Company Culture, Work Satisfaction;;342;292;16;6;24;;
Indian Space Research Organisation;Defence & Aerospace | 10k-50k Employees | Public | 55 years old | Bangalore/Bengaluru +22 more;4.6;Work Life Balance, Work Satisfaction, Company Culture;;307;1.2k;26;--;37;;
MITS GLOBAL CONSULTING;Recruitment | 201-500 Employees | Mumbai +9 more;4.6;Work Life Balance, Work Satisfaction, Company Culture;;298;545;5;--;108;;
Wonderla Holidays;Hospitality | 501-1k Employees | Public | 24 years old | Bangalore/Bengaluru +12 more;4.6;Company Culture, Work Satisfaction, Job Security;;297;825;8;26;55;;
Aditya Birla Minacs;IT Services & Consulting | 10k-50k Employees | 43 years old | Bellandur +13 more;4.6;Skill Development / Learning, Company Culture, Work Life Balance;;290;515;4;--;46;;
Resurgent India;201-500 Employees | 19 years old | Gurgaon +10 more;4.6;Company Culture, Job Security, Skill Development / Learning;;285;406;3;27;82;;
Madina Group;Oil & Gas | 201-500 Employees | 27 years old | Doha +18 more;4.6;Skill Development / Learning, Work Satisfaction, Work Life Balance;;270;541;16;--;46;;
IIT Bombay;Education & Training | 501-1k Employees | Public | 66 years old | Mumbai +9 more;4.6;Skill Development / Learning, Company Culture, Work Life Balance;;268;1.7k;19;22;30;;
CapeStart;IT Services & Consulting | 501-1k Employees | 11 years old | Cambridge +3 more;4.6;Job Security, Company Culture, Skill Development / Learning;;263;399;19;12;147;;
Angelique International;Engineering & Construction | 501-1k Employees | 28 years old | Delhi/NCR +18 more;4.6;Company Culture, Work Life Balance, Work Satisfaction;;258;1.1k;7;8;34;;
Mitsubishi Electric Automotive India;Automobile | 501-1k Employees (Global) | Public | 66 years old | Pune +14 more;4.6;Company Culture, Salary & Benefits, Work Life Balance;;255;824;19;--;53;;
Conviction HR;Recruitment | 501-1k Employees | 12 years old | Mumbai +12 more;4.6;Skill Development / Learning, Salary & Benefits, Company Culture;;247;230;6;13;56;;
ScoreMe Solutions;Software Product | 51-200 Employees | Gurgaon / Gurugram +3 more;4.6;Company Culture, Promotions / Appraisal, Salary & Benefits;;246;281;6;2;117;;
Appsierra;IT Services & Consulting | 51-200 Employees | 9 years old | Noida +9 more;4.6;Work Life Balance, Skill Development / Learning, Promotions / Appraisal;;242;231;2;233;173;;
Accurex Biomedical;Medical Equipment | 201-500 Employees | 40 years old | Mumbai +46 more;4.6;Skill Development / Learning, Company Culture, Work Life Balance;;230;208;9;2;16;;
Indiabulls Real Estate;Real Estate | 501-1k Employees | Public | 18 years old | Mumbai +21 more;4.6;Work Life Balance, Work Satisfaction, Company Culture;;228;1.2k;7;--;27;;
kipi.bi;IT Services & Consulting | 201-500 Employees | Houston +12 more;4.6;Skill Development / Learning, Company Culture, Job Security;;228;565;29;6;10;;
HyScaler;IT Services & Consulting | 51-200 Employees | 15 years old | Santa Clara +1 more;4.6;Skill Development / Learning, Company Culture, Work Satisfaction;;224;166;42;34;92;;
Jaguar Security Services;Law Enforcement & Security | 1k-5k Employees | 34 years old | Noida +18 more;4.6;Company Culture, Salary & Benefits, Work Life Balance;;207;635;15;18;31;;
Arundhati Jewellers;Jewellery | 201-500 Employees | 24 years old | Bhubaneswar +6 more;4.6;Company Culture, Job Security, Skill Development / Learning;;205;209;6;3;64;;
Arundhati Jewellers;Jewellery | 201-500 Employees | 24 years old | Bhubaneswar +6 more;4.6;Company Culture, Job Security, Skill Development / Learning;;205;209;6;3;64;;
Classcanyon;Education & Training | 51-200 Employees | Startup | 3 years old | Greater Noida +4 more;4.6;Skill Development / Learning, Promotions / Appraisal, Work Life Balance;;202;63;7;1;38;;
Fingent;Software Product | 201-500 Employees | 21 years old | New York +4 more;4.6;Job Security, Company Culture, Work Satisfaction;;196;746;17;16;108;;
Kapston Services;Facility Management Services | 10k-50k Employees | Hyderabad / Secunderabad +23 more;4.6;Work Life Balance, Company Culture, Work Satisfaction;;190;617;12;14;11;;
Shorthills AI;Emerging Technologies | 201-500 Employees | 6 years old | New Jersey +3 more;4.6;Company Culture, Skill Development / Learning, Work Life Balance;;189;320;4;14;66;;
PIT Solutions;IT Services & Consulting | 501-1k Employees | 24 years old | Rapperswil-Jona +2 more;4.6;Work Life Balance, Company Culture, Job Security;;188;650;6;12;81;;
Chennai Petroleum Corporation;Oil & Gas | 1k-5k Employees | Public | 59 years old | Chennai +9 more;4.6;Skill Development / Learning, Work Satisfaction, Job Security;;187;1k;11;--;21;;
HPM Chemicals & Fertilizers;Agro Chemicals | 501-1k Employees | 47 years old | New Delhi +34 more;4.6;Work Satisfaction, Promotions / Appraisal, Skill Development / Learning;;177;443;4;1;101;;
HPM Chemicals & Fertilizers;Agro Chemicals | 501-1k Employees | 47 years old | New Delhi +34 more;4.6;Work Satisfaction, Promotions / Appraisal, Skill Development / Learning;;177;443;4;1;101;;
Innoval Digital Solutions;Software Product | 201-500 Employees | 27 years old | Trivandrum/Thiruvananthapuram +5 more;4.6;Job Security, Work Life Balance, Skill Development / Learning;;166;353;8;3;69;;
Upwork;Internet | 501-1k Employees | Public | 9 years old | Santa Clara +30 more;4.6;Work Life Balance, Work Satisfaction, Company Culture;;164;1.1k;12;6;13;;
MSC Technology India;IT Services & Consulting | 1k-5k Employees | 17 years old | Chennai +6 more;4.6;Job Security, Work Life Balance, Salary & Benefits;;162;1k;14;30;39;;
Azure Hospitality;Hospitality | 201-500 Employees | 15 years old | Delhi +9 more;4.6;Company Culture, Work Life Balance, Skill Development / Learning;;156;604;6;--;32;;
Namdev Finvest;Financial Services | 201-500 Employees | 27 years old | Jaipur +31 more;4.6;Work Satisfaction, Work Life Balance, Company Culture;;155;261;6;13;7;;
Claritus Management Consulting;IT Services & Consulting | 51-200 Employees | 16 years old | Noida +4 more;4.6;Work Satisfaction, Company Culture, Salary & Benefits;;154;298;4;68;58;;
IndiaCan;EdTech | 201-500 Employees | 16 years old | Noida +40 more;4.6;Skill Development / Learning, Company Culture, Work Satisfaction;;149;200;3;--;22;;
Safdarjung Hospital;Healthcare | 501-1k Employees | 82 years old | Delhi/NCR +5 more;4.6;Skill Development / Learning, Work Life Balance, Work Satisfaction;;144;674;6;--;16;;
Radiant Polymers;Auto Components | 51-200 Employees | 35 years old | New Delhi +11 more;4.6;Skill Development / Learning, Job Security, Company Culture;;144;587;6;--;12;;
Indian School Finance Company;NBFC | 51-200 Employees | 30 years old | Hyderabad +38 more;4.6;Work Life Balance, Company Culture, Work Satisfaction;;144;664;1;--;21;;
Safdarjung Hospital;Healthcare | 501-1k Employees | 82 years old | Delhi/NCR +5 more;4.6;Skill Development / Learning, Work Life Balance, Work Satisfaction;;144;674;6;--;16;;
Daelim Industrial Co.;Petrochemicals | 51-200 Employees | 85 years old | Seoul +13 more;4.6;Company Culture, Skill Development / Learning, Salary & Benefits;;144;136;3;--;28;;
CriticaLog India Private Limited;Logistics | 501-1k Employees | Startup | 11 years old | Bangalore +26 more;4.6;Work Life Balance, Work Satisfaction, Job Security;;141;425;6;4;8;;
PaywithRING;FinTech | 201-500 Employees | 2 years old | Mumbai +19 more;4.6;Company Culture, Work Life Balance, Salary & Benefits;;140;120;2;2;5;;
Capital Finserve;NBFC | 201-500 Employees | 17 years old | Salem +4 more;4.6;Work Satisfaction, Skill Development / Learning, Job Security;;139;52;7;--;57;;
Nehru Yuva Kendra Sangathan;Non-Profit | 52 years old | New Delhi +72 more;4.6;Skill Development / Learning, Work Satisfaction, Work Life Balance;;137;194;8;--;18;;
Techavera Solutions;Education & Training | 51-200 Employees | 14 years old | Noida +3 more;4.6;Work Life Balance, Promotions / Appraisal, Skill Development / Learning;;135;149;2;--;20;;
Meitra Hospital;Healthcare | 1k-5k Employees (Global) | 7 years old | Kozhikode +4 more;4.6;Skill Development / Learning, Company Culture, Work Life Balance;;134;300;3;15;9;;
Canny Brains;EdTech | 201-500 Employees | 12 years old | Dubai +6 more;4.6;Skill Development / Learning, Company Culture, Work Life Balance;;132;64;3;1;14;;
Trident Automobiles;Auto Components | 201-500 Employees | 26 years old | Bangalore/Bengaluru +6 more;4.6;Company Culture, Skill Development / Learning, Work Satisfaction;;126;516;--;2;18;;
High Court Lucknow;Law Enforcement & Security | 201-500 Employees (Global) | Lucknow +20 more;4.6;Skill Development / Learning, Company Culture, Work Life Balance;;122;984;5;--;13;;
DRA Homes;Real Estate | 51-200 Employees | Chennai +2 more;4.6;Company Culture, Job Security, Skill Development / Learning;;121;177;8;1;8;;
ChicMic;Gaming | 51-200 Employees | 12 years old | Mohali +2 more;4.6;Skill Development / Learning, Company Culture, Work Life Balance;;120;220;5;2;22;;
Aapna Infotech;IT Services & Consulting | 51-200 Employees | 17 years old | Delhi/NCR +3 more;4.6;Company Culture, Skill Development / Learning, Work Life Balance;;119;336;3;30;5;;
Aapna Infotech;IT Services & Consulting | 51-200 Employees | 17 years old | Delhi/NCR +3 more;4.6;Company Culture, Skill Development / Learning, Work Life Balance;;119;336;3;30;5;;
Sapphire International School;Education & Training | 51-200 Employees (Global) | 21 years old | Noida +9 more;4.6;Skill Development / Learning, Company Culture, Job Security;;118;273;4;2;7;;
Reserve Bank of India;Banking | 10k-50k Employees | Central | 89 years old | Mumbai +24 more;4.6;Work Life Balance, Salary & Benefits, Job Security;;117;807;14;--;12;;
Aster Medcity;Healthcare | 1k-5k Employees (Global) | 9 years old | Kochi/Cochin +6 more;4.6;Company Culture, Skill Development / Learning, Job Security;;116;486;1;691;17;;
Snowcem Paints;Building Material | 201-500 Employees | 65 years old | Mumbai +27 more;4.6;Company Culture, Job Security, Work Life Balance;;115;183;5;--;5;;
Quale Infotech;IT Services & Consulting | 51-200 Employees | 7 years old | New Delhi +9 more;4.6;Skill Development / Learning, Promotions / Appraisal, Job Security;;111;169;1;7;91;;
Quale Infotech;IT Services & Consulting | 51-200 Employees | 7 years old | New Delhi +9 more;4.6;Skill Development / Learning, Promotions / Appraisal, Job Security;;111;169;1;7;91;;
Panchshil Realty;Real Estate | 201-500 Employees | 22 years old | Pune +4 more;4.6;Job Security, Work Life Balance, Company Culture;;110;798;6;2;15;;
Krishak Bharati Cooperative;Chemicals | 1k-5k Employees | 44 years old | New Delhi +15 more;4.6;Job Security, Work Life Balance, Company Culture;;109;230;6;--;10;;
Al Naboodah;Engineering & Construction | 10k-50k Employees (Global) | 66 years old | Dubai +10 more;4.6;Work Satisfaction, Company Culture, Salary & Benefits;;108;228;2;--;14;;
UNITILE;Building Material | 201-500 Employees | 30 years old | Mumbai +12 more;4.6;Work Life Balance, Company Culture, Work Satisfaction;;107;124;1;3;89;;
SCON Projects;Engineering & Construction | 51-200 Employees | 17 years old | Pune +12 more;4.6;Job Security, Company Culture, Skill Development / Learning;;106;433;5;--;17;;
Western Coalfields;Metals & Mining | 10k-50k Employees | Public | 49 years old | Nagpur +13 more;4.6;Work Life Balance, Work Satisfaction, Skill Development / Learning;;106;323;4;--;19;;
Gandhi Institute for Technology;Education & Training | 51-200 Employees | Bhubaneswar +3 more;4.6;Skill Development / Learning, Job Security, Company Culture;;105;90;--;--;7;;
Techmango Technology;IT Services & Consulting | 51-200 Employees | 10 years old | New York +2 more;4.6;Skill Development / Learning, Work Satisfaction, Work Life Balance;;105;180;2;2;14;;
Eaton Industrial Systems;Industrial Machinery | 51-200 Employees | 25 years old | Pune +7 more;4.6;Company Culture, Skill Development / Learning, Work Satisfaction;;105;400;--;--;19;;
Fragma Data Systems;IT Services & Consulting | 51-200 Employees | 9 years old | Bangalore/Bengaluru +1 more;4.6;Work Life Balance, Company Culture, Promotions / Appraisal;;105;279;7;12;9;;
Vikram Sarabhai Space Centre;Defence & Aerospace | 201-500 Employees | 62 years old | Thiruvananthapuram +5 more;4.6;Company Culture, Work Life Balance, Skill Development / Learning;;101;367;3;--;5;;
Edvoy;51-200 Employees | 18 years old | Manchester +4 more;4.6;Work Life Balance, Salary & Benefits, Job Security;;99;145;3;1;60;;
DEC Property Management;Facility Management Services | 51-200 Employees | 26 years old | New Delhi +12 more;4.6;Company Culture, Work Satisfaction, Work Life Balance;;98;399;5;--;7;;
Petronet LNG;Oil & Gas | 501-1k Employees | Public | 26 years old | Delhi/NCR +6 more;4.6;Job Security, Salary & Benefits, Work Life Balance;;97;561;6;--;13;;
Petronet LNG;Oil & Gas | 501-1k Employees | Public | 26 years old | Delhi/NCR +6 more;4.6;Job Security, Salary & Benefits, Work Life Balance;;97;561;6;--;13;;
BrainerHub;Software Product | 51-200 Employees | Ahmedabad +1 more;4.6;Skill Development / Learning, Work Satisfaction, Work Life Balance;;97;38;2;2;4;;
MTS;Telecom | 1k-5k Employees | Conglomerate | 58 years old | Minnesota +38 more;4.6;Skill Development / Learning, Promotions / Appraisal, Work Satisfaction;;96;416;2;--;12;;
Indo Gulf Fertilisers;Agro Chemicals | 51-200 Employees | Public | 21 years old | Port Harcourt +16 more;4.6;Job Security, Work Life Balance, Company Culture;;96;288;3;--;17;;
Nature Nurture Eduserv;Education & Training | 51-200 Employees | 12 years old | Boston;4.6;Skill Development / Learning, Company Culture, Work Satisfaction;;94;51;1;--;9;;
Bharat BPO Services;BPO | 201-500 Employees | 18 years old | Noida +10 more;4.6;Company Culture, Job Security, Skill Development / Learning;;93;316;3;--;16;;
Pai International Electronics;Electronics Manufacturing | 501-1k Employees | 24 years old | Bangalore/Bengaluru +13 more;4.6;Company Culture, Job Security, Skill Development / Learning;;93;357;3;6;9;;
Bharti Retail;Retail | 201-500 Employees | 48 years old | New Delhi +36 more;4.6;Company Culture, Skill Development / Learning, Work Life Balance;;92;163;--;--;16;;
Jamia Millia Islamia;Education & Training | 11-50 Employees | 104 years old | New Delhi +5 more;4.6;Company Culture, Work Life Balance, Skill Development / Learning;;92;383;2;--;15;;
